subjID	choice	gain	loss
1	1	100	0
1	2	100	0
1	3	50	0
1	4	50	0
1	1	100	0
1	1	100	250
1	2	100	250
1	3	50	0
1	3	50	0
1	3	50	0
1	1	100	250
1	3	50	0
1	3	50	0
1	3	50	0
1	3	50	0
1	3	50	0
1	3	50	50
1	4	50	50
1	1	100	0
1	1	100	250
1	3	50	0
1	3	50	50
1	2	100	0
1	3	50	0
1	2	100	250
1	3	50	0
1	3	50	50
1	4	50	50
1	2	100	0
1	3	50	50
1	2	100	250
1	3	50	50
1	4	50	50
1	1	100	250
1	3	50	0
1	3	50	50
1	3	50	0
1	3	50	0
1	4	50	0
1	4	50	0
1	3	50	0
1	4	50	0
1	3	50	50
1	4	50	0
1	4	50	50
1	3	50	50
1	3	50	50
1	4	50	50
1	1	100	250
1	3	50	50
1	4	50	0
1	4	50	50
1	3	50	50
1	3	50	0
1	3	50	50
1	3	50	50
1	2	100	0
1	3	50	50
1	1	100	0
1	3	50	50
1	4	50	50
1	1	100	250
1	3	50	50
1	3	50	0
1	3	50	50
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	50
1	3	50	50
1	2	100	0
1	3	50	50
1	3	50	0
1	3	50	0
1	3	50	50
1	4	50	50
1	2	100	0
1	3	50	0
1	3	50	0
1	3	50	50
1	1	100	250
1	3	50	0
1	3	50	0
1	3	50	50
1	4	50	0
1	4	50	0
1	4	50	50
1	3	50	50
1	2	100	250
1	3	50	0
1	3	50	50
1	4	50	0
1	4	50	50
1	3	50	0
1	3	50	50
1	4	50	0
1	4	50	50
1	3	50	50
1	3	50	0
1	3	50	50
5	1	100	250
5	1	100	0
5	1	100	0
5	1	100	0
5	1	100	250
5	3	50	0
5	3	50	50
5	2	100	0
5	3	50	0
5	2	100	250
5	3	50	0
5	4	50	50
5	3	50	0
5	3	50	50
5	1	100	250
5	1	100	0
5	2	100	0
5	1	100	250
5	2	100	250
5	2	100	250
5	2	100	0
5	2	100	0
5	2	100	0
5	2	100	0
5	1	100	250
5	2	100	0
5	2	100	0
5	2	100	250
5	2	100	250
5	2	100	250
5	2	100	250
5	2	100	250
5	3	50	50
5	3	50	50
5	1	100	250
5	2	100	250
5	4	50	0
5	4	50	50
5	1	100	0
5	2	100	0
5	3	50	50
5	1	100	250
5	2	100	0
5	2	100	0
5	2	100	0
5	2	100	0
5	2	100	250
5	4	50	50
5	3	50	50
5	1	100	250
5	2	100	0
5	2	100	0
5	2	100	0
5	2	100	0
5	1	100	0
5	1	100	0
5	1	100	0
5	1	100	250
5	2	100	250
5	3	50	0
5	3	50	50
5	2	100	250
5	1	100	250
5	4	50	50
5	2	100	250
5	2	100	250
5	1	100	250
5	1	100	0
5	1	100	250
5	3	50	50
5	3	50	50
5	2	100	250
5	2	100	0
5	2	100	0
5	2	100	250
5	1	100	250
5	1	100	0
5	1	100	0
5	1	100	0
5	1	100	250
5	1	100	0
5	1	100	0
5	1	100	0
5	1	100	0
5	1	100	250
5	1	100	0
5	1	100	0
5	1	100	0
5	1	100	0
5	2	100	250
5	1	100	0
5	1	100	250
5	2	100	0
5	1	100	250
5	2	100	0
5	2	100	250
5	1	100	250
5	1	100	250
5	3	50	0
5	3	50	0
7	2	100	250
7	1	100	250
7	3	50	50
7	4	50	0
7	3	50	0
7	2	100	250
7	2	100	0
7	3	50	50
7	3	50	0
7	3	50	0
7	4	50	0
7	4	50	50
7	4	50	50
7	3	50	0
7	3	50	50
7	3	50	50
7	1	100	250
7	1	100	0
7	3	50	50
7	3	50	0
7	3	50	0
7	3	50	0
7	4	50	0
7	4	50	0
7	3	50	0
7	4	50	50
7	3	50	50
7	4	50	0
7	2	100	250
7	3	50	50
7	3	50	0
7	3	50	50
7	3	50	50
7	4	50	0
7	1	100	0
7	3	50	0
7	3	50	0
7	3	50	0
7	2	100	250
7	2	100	0
7	3	50	0
7	3	50	50
7	3	50	0
7	1	100	250
7	1	100	0
7	3	50	50
7	4	50	50
7	4	50	50
7	3	50	50
7	3	50	0
7	4	50	50
7	3	50	0
7	3	50	50
7	3	50	0
7	4	50	0
7	4	50	50
7	4	50	0
7	4	50	50
7	4	50	0
7	4	50	0
7	4	50	50
7	2	100	250
7	3	50	0
7	1	100	0
7	3	50	0
7	4	50	0
7	3	50	0
7	3	50	50
7	4	50	50
7	3	50	50
7	3	50	50
7	2	100	0
7	3	50	50
7	4	50	50
7	3	50	50
7	3	50	50
7	4	50	0
7	2	100	250
7	3	50	50
7	1	100	250
7	3	50	50
7	2	100	250
7	3	50	0
7	3	50	0
7	3	50	0
7	2	100	0
7	3	50	50
7	4	50	0
7	3	50	50
7	4	50	0
7	4	50	0
7	4	50	0
7	4	50	50
7	1	100	250
7	3	50	50
7	4	50	0
7	1	100	250
7	4	50	50
7	4	50	0
7	1	100	0
